date,port_or_benchmark,fuel_type,price,currency,unit,region,source
2019-04-08,Chennai,Marine Fuel 0.5% / MFO 0.5%,475.684754,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-08,Chennai,HFHSD / LSHF HSD,673.911639,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-08,Kamarajar Port (Ennore),Marine Fuel 0.5% / MFO 0.5%,475.684754,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-09,Visakhapatnam,Marine Fuel 0.5% / MFO 0.5%,452.245984,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-09,Visakhapatnam,HFHSD / LSHF HSD,675.041557,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-09,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,475.129098,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-09,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,679.622869,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-09,Paradip,Marine Fuel 0.5% / MFO 0.5%,461.005164,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-09,Paradip,HFHSD / LSHF HSD,674.447213,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-09,Kamarajar Port (Ennore),Marine Fuel 0.5% / MFO 0.5%,475.129098,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-09,Haldia,Marine Fuel 0.5% / MFO 0.5%,455.21123,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-09,Haldia,HFHSD / LSHF HSD,684.088279,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-09,Chennai,Marine Fuel 0.5% / MFO 0.5%,475.129098,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-09,Chennai,HFHSD / LSHF HSD,673.009344,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
